Title,User Rating,Genres,Cast,Links
Wish,67,"['War', 'Drama', 'Action']","['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz', 'Vicellous Shannon', 'Hiram A. Murray', 'Justen Jones', 'Gary David Keast', 'Aaron Courteau']",http://themoviedb.org/movie/1022796
Spider-Man: No Way Home,80,"['Action', 'Crime', 'Thriller']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']",http://themoviedb.org/movie/634649
John Wick: Chapter 4,78,"['Action', 'Adventure', 'Thriller']","['Sylvester Stallone', 'Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Tony Jaa', 'Randy Couture']",http://themoviedb.org/movie/603692
Shockwave: Countdown to Disaster,55,"['Action', 'Thriller']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']",http://themoviedb.org/movie/479753
PAW Patrol: The Mighty Movie,69,"['Comedy', 'Family', 'Fantasy']","['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Olivia Colman', 'Rowan Atkinson', 'Hugh Grant', 'Sally Hawkins', 'Matt Lucas', 'Mathew Baynton']",http://themoviedb.org/movie/893723
The Nun II,69,"['Comedy', 'Fantasy', 'Family']","['Eddie Murphy', 'Tracee Ellis Ross', 'Jillian Bell', 'Genneya Walton', 'Thaddeus J. Mixson', 'Madison Thomas', 'Nick Offerman', 'Chris Redd', 'Robin Thede']",http://themoviedb.org/movie/968051
Cobweb,68,"['Action', 'Drama', 'Romance']","['Jean-Claude Van Damme', 'Pat Morita', 'Danny Trejo', 'Gabrielle Fitzpatrick', 'Larry Drake', 'Vincent Schiavelli', ""David 'Shark' Fralick"", 'Silas Weir Mitchell', 'Jonathan Avildsen']",http://themoviedb.org/movie/709631
In the Land of Saints and Sinners,69,"['Drama', 'Science Fiction', 'Action', 'Horror']","['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki', 'Yuki Yamada', 'Saki Nakatani', 'Munetaka Aoki', 'Sakura Ando', 'Mio Tanaka']",http://themoviedb.org/movie/1027073
Sound of Freedom,81,"['Action', 'Adventure', 'Science Fiction']","['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz', 'Mohamed Lotfi', 'Mahmoud Hafez', 'Sara Elshamy', 'Ahmed Hatem', 'Ahmed ElAwadi']",http://themoviedb.org/movie/678512
The Survivor,72,"['Comedy', 'Fantasy', 'Family']","['Jennifer Garner', 'Ed Helms', 'Emma Myers', 'Brady Noon', 'Rita Moreno', 'Matthias Schweighöfer', 'Vanessa Carrasco', 'Cyrus Arnold', 'Ilia Isorelýs Paulino']",http://themoviedb.org/movie/606870
Aquaman and the Lost Kingdom,NR,"['Crime', 'Drama', 'History']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'John Lithgow', 'Brendan Fraser', 'Cara Jade Myers', 'JaNae Collins']",http://themoviedb.org/movie/572802
The Exorcist: Believer,62,['Science Fiction'],"['Corey Taylor', 'Destiny Salas', 'Lindsey Cruz', 'Steve Delgado', 'Julie Garcia-Briceno', 'Jackie Gerhardy', 'Mark Justice', 'Gotham McFadden', 'Destiny Faith Nelson']",http://themoviedb.org/movie/807172
Mega Lightning,45,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']",http://themoviedb.org/movie/988591
The Flash,68,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']",http://themoviedb.org/movie/298618
Puss in Boots: The Last Wish,83,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']",http://themoviedb.org/movie/315162
Believer 2,71,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']",http://themoviedb.org/movie/958263
The Velveteen Rabbit,76,[],[],http://themoviedb.org/movie/1186957
The Grinch,68,"['Animation', 'Comedy', 'Family']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low', 'Zehra Fazal', 'Keith Silverstein', 'Kari Wahlgren']",http://themoviedb.org/movie/360920
The Mercenary,62,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']",http://themoviedb.org/movie/660521
Godzilla: King of the Monsters,67,"['Science Fiction', 'Action', 'Thriller']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']",http://themoviedb.org/movie/373571
Retribution,70,"['War', 'Drama', 'Action']","['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz', 'Vicellous Shannon', 'Hiram A. Murray', 'Justen Jones', 'Gary David Keast', 'Aaron Courteau']",http://themoviedb.org/movie/762430
Home Alone 2: Lost in New York,67,"['Action', 'Crime', 'Thriller']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']",http://themoviedb.org/movie/772
